case_id,category,channel,region,complexity,vulnerable_customer,fraud_signal,missing_information,negative_sentiment,order_value_gbp,days_since_purchase,requires_human,retrieval_correct,escalation_predicted,approval_required,tool_write_attempted,unauthorized_write,baseline_minutes,assisted_minutes,baseline_fcr,assisted_fcr,baseline_policy_adherent,assisted_policy_adherent,baseline_reopened,assisted_reopened
AST-00042,damaged_item,chat,south,medium,False,False,False,False,146.57,28,False,True,False,True,True,False,15.68,10.42,True,True,True,True,False,False
AST-00043,late_delivery,email,london,medium,True,False,False,False,11.6,34,True,True,True,True,False,False,21.25,14.02,True,True,True,True,False,False
AST-00044,missing_refund,chat,london,medium,False,False,False,False,18.56,25,False,True,False,False,True,False,22.04,12.56,True,True,True,True,False,False
AST-00045,missing_refund,chat,london,low,False,False,False,True,11.05,19,False,True,False,False,True,False,13.07,7.41,False,True,True,True,True,False
AST-00046,change_of_mind,email,london,low,False,False,False,True,67.43,21,False,True,False,False,False,False,14.66,8.15,True,True,True,True,False,False
AST-00047,wrong_item,email,north,medium,False,False,False,False,43.47,18,False,True,False,False,True,False,17.58,9.97,True,True,True,True,False,False
AST-00048,wrong_item,email,south,medium,False,False,False,False,37.82,29,False,True,False,False,True,False,20.05,11.67,True,True,True,True,False,False
AST-00049,late_delivery,email,london,low,False,False,True,False,30.96,3,False,True,False,False,False,False,20.52,11.23,True,False,True,True,False,True
AST-00050,wrong_item,chat,north,medium,False,False,False,False,121.81,17,False,True,False,True,True,False,19.98,12.25,True,True,True,True,False,False
AST-00051,damaged_item,email,south,low,False,False,True,True,392.35,31,True,True,True,True,True,False,19.0,12.89,True,True,True,True,False,False
AST-00052,change_of_mind,chat,midlands,low,False,False,False,False,35.34,9,False,True,False,False,False,False,16.18,9.43,True,True,True,True,False,False
AST-00053,late_delivery,chat,north,low,False,False,False,False,34.82,36,False,True,False,False,False,False,14.23,7.49,False,True,True,False,True,False
AST-00054,damaged_item,email,north,low,True,False,False,False,67.16,9,True,True,True,True,True,False,14.51,10.59,True,True,True,True,False,False
AST-00055,late_delivery,chat,north,medium,False,False,False,False,50.54,47,False,True,False,False,False,False,18.77,9.95,True,True,True,True,False,False
AST-00056,late_delivery,phone,midlands,high,False,True,True,True,68.36,24,True,True,True,True,False,False,27.11,20.29,False,True,True,True,True,False
AST-00057,wrong_item,phone,north,medium,False,False,False,True,34.59,20,False,True,False,False,True,False,18.59,10.52,True,True,True,True,False,False
AST-00058,damaged_item,chat,north,medium,False,False,False,False,67.41,8,False,True,False,False,True,False,23.05,14.1,True,False,True,True,False,True
AST-00059,wrong_item,chat,south,medium,False,True,False,True,16.24,19,True,True,True,True,True,False,20.69,14.49,True,True,True,True,False,False
AST-00060,warranty,email,london,high,False,False,False,True,55.49,26,True,True,True,True,False,False,25.68,20.24,False,True,False,True,True,False
AST-00061,late_delivery,phone,midlands,high,False,True,False,False,25.34,32,True,True,True,True,False,False,21.83,16.59,False,True,True,True,True,True
AST-00062,missing_refund,phone,midlands,medium,True,False,True,False,44.49,27,True,True,True,True,True,False,24.53,16.85,False,False,True,True,True,True
AST-00063,change_of_mind,email,south,medium,False,True,False,True,45.55,6,True,True,True,True,False,False,20.38,14.48,True,True,True,True,False,False
AST-00064,damaged_item,email,south,medium,False,False,False,False,32.75,46,False,True,False,False,True,False,17.57,10.81,True,True,True,True,False,False
AST-00065,wrong_item,chat,midlands,high,False,False,False,True,51.58,61,False,True,False,False,True,False,31.33,21.73,False,True,True,True,True,False
AST-00066,damaged_item,email,north,low,False,False,False,True,44.98,12,False,True,False,False,True,False,20.52,11.33,False,True,True,True,True,False
AST-00067,change_of_mind,chat,south,low,False,False,True,False,57.65,23,False,True,False,False,False,False,22.01,12.59,True,True,True,True,False,False
AST-00068,late_delivery,email,north,medium,False,False,False,True,16.14,24,False,True,False,False,False,False,24.06,15.19,True,True,True,True,False,False
AST-00069,late_delivery,phone,south,low,True,True,False,False,14.36,5,True,True,True,True,False,False,12.4,8.42,True,True,True,True,False,False
AST-00070,late_delivery,chat,midlands,medium,False,False,False,False,46.14,19,False,True,False,False,False,False,21.67,13.74,False,True,True,True,True,False
AST-00071,late_delivery,phone,south,low,False,False,False,False,106.5,10,False,True,False,True,False,False,18.84,10.87,False,True,False,True,True,False
AST-00072,late_delivery,chat,london,low,True,False,True,False,80.55,31,True,True,True,True,False,False,15.69,11.61,False,True,True,True,True,False
AST-00073,warranty,chat,north,low,False,False,False,False,99.18,17,True,True,True,True,False,False,14.33,11.01,True,True,True,True,False,False
AST-00074,late_delivery,chat,south,medium,False,False,False,False,184.88,38,False,True,False,True,False,False,21.19,13.38,True,True,True,True,False,False
AST-00075,damaged_item,email,midlands,high,False,False,True,True,129.4,138,False,True,False,True,True,False,33.6,22.57,True,True,True,True,False,False
AST-00076,wrong_item,phone,london,high,False,False,True,False,33.03,20,False,True,False,False,True,False,24.11,16.43,False,True,True,True,True,False
AST-00077,change_of_mind,chat,london,low,False,False,False,False,22.84,15,False,True,False,False,False,False,12.76,7.82,True,True,True,True,False,False
AST-00078,damaged_item,chat,north,medium,False,False,False,False,28.01,13,False,True,False,False,True,False,15.62,10.04,True,True,True,True,False,False
AST-00079,change_of_mind,email,south,low,False,False,False,False,36.67,19,False,True,False,False,False,False,16.22,8.35,False,True,True,True,True,False
AST-00080,change_of_mind,chat,south,low,False,False,False,False,35.08,53,False,True,False,False,False,False,20.83,10.63,False,True,True,True,True,False
AST-00081,missing_refund,phone,london,high,False,False,False,False,87.28,10,False,True,False,False,True,False,22.83,15.58,True,True,True,True,False,False
AST-00082,late_delivery,chat,london,low,False,False,False,False,46.49,38,False,True,False,False,False,False,16.71,8.4,True,True,False,True,False,False
AST-00083,change_of_mind,email,london,medium,False,False,False,False,25.5,69,False,True,False,False,False,False,19.78,12.61,False,True,True,True,True,False
AST-00084,damaged_item,email,london,low,False,False,False,False,63.35,20,False,True,False,False,True,False,11.43,6.6,False,True,True,True,True,False
AST-00085,late_delivery,phone,south,low,False,False,False,False,76.07,28,False,True,False,False,False,False,16.13,8.05,True,True,False,True,True,False
AST-00086,late_delivery,email,north,medium,True,True,False,False,22.76,11,True,True,True,True,False,False,21.42,15.06,False,True,True,True,True,False
AST-00087,change_of_mind,chat,london,medium,False,False,False,False,75.55,30,False,True,False,False,False,False,22.15,13.0,True,True,True,True,False,False
AST-00088,late_delivery,phone,south,low,False,False,False,False,50.48,34,False,True,False,False,False,False,16.57,8.58,True,True,True,True,False,False
AST-00089,wrong_item,chat,london,low,False,False,False,False,15.1,10,False,True,False,False,True,False,15.39,8.37,False,True,True,True,True,False
AST-00090,wrong_item,phone,london,low,True,False,False,False,64.39,9,True,True,True,True,True,False,12.86,9.97,True,True,True,True,False,False
AST-00091,missing_refund,chat,london,medium,False,False,False,False,136.1,30,False,True,False,True,True,False,20.42,13.86,True,True,True,True,False,False
AST-00092,missing_refund,chat,london,low,False,False,False,False,56.51,23,False,True,False,False,True,False,19.27,9.11,False,True,True,True,True,False
AST-00093,change_of_mind,email,london,low,True,False,False,False,33.71,25,True,True,True,True,False,False,16.31,9.75,True,True,False,True,False,False
AST-00094,late_delivery,chat,south,high,False,False,True,True,40.52,13,False,True,True,True,False,False,31.87,24.22,True,True,True,True,False,False
AST-00095,damaged_item,phone,south,medium,False,False,False,False,195.05,28,False,True,False,True,True,False,15.7,10.1,False,False,True,True,True,True
AST-00096,missing_refund,email,midlands,medium,False,False,False,True,58.52,10,False,True,False,False,True,False,16.8,11.16,True,True,False,True,False,False
AST-00097,damaged_item,email,south,medium,False,False,False,False,23.9,22,False,True,False,False,True,False,21.9,13.26,False,True,True,True,True,False
AST-00098,change_of_mind,email,london,medium,False,False,False,True,219.69,27,False,True,False,True,False,False,23.89,15.25,True,False,True,True,False,True
AST-00099,late_delivery,chat,london,high,False,False,False,False,114.03,30,False,True,False,True,False,False,22.48,14.46,False,True,True,True,True,False
AST-00100,late_delivery,chat,london,high,False,True,False,True,47.65,18,True,False,True,True,False,False,25.79,18.52,False,False,True,True,True,True
AST-00101,missing_refund,chat,south,high,False,False,False,False,23.0,10,False,True,False,False,True,False,24.28,17.01,True,True,False,True,False,False
AST-00102,missing_refund,email,london,medium,False,False,True,True,21.44,67,False,True,False,False,True,False,21.96,12.74,False,True,True,True,True,False
AST-00103,wrong_item,email,north,high,False,False,False,False,36.96,81,False,True,False,False,True,False,27.06,18.04,True,True,True,True,False,False
AST-00104,warranty,email,south,low,False,False,True,False,76.02,7,True,True,True,True,False,False,19.29,13.01,False,True,True,True,True,False
AST-00105,warranty,phone,midlands,low,False,False,False,True,57.64,36,True,True,True,True,False,False,18.01,10.0,True,True,True,True,False,False
AST-00106,change_of_mind,chat,midlands,low,False,False,False,False,53.38,16,False,True,False,False,False,False,14.66,6.35,True,True,True,True,False,False
AST-00107,wrong_item,chat,midlands,high,False,False,False,False,99.2,8,False,True,False,False,True,False,26.17,18.04,False,False,True,True,True,True
AST-00108,damaged_item,email,midlands,medium,True,False,False,False,18.75,26,True,True,True,True,True,False,17.47,11.45,True,True,False,True,False,False
AST-00109,change_of_mind,phone,london,low,False,False,False,True,31.64,19,False,True,False,False,False,False,21.22,11.15,False,True,True,True,True,False
AST-00110,wrong_item,email,north,low,False,False,False,False,32.44,14,False,True,False,False,True,False,12.1,6.93,False,True,True,True,True,False
AST-00111,warranty,email,midlands,medium,False,False,False,True,89.96,6,True,True,True,True,False,False,27.66,18.22,False,True,True,True,True,False
AST-00112,warranty,chat,london,medium,True,False,False,False,110.25,27,True,True,True,True,False,False,18.6,13.92,True,True,True,True,False,False
AST-00113,damaged_item,chat,midlands,low,False,False,False,False,44.6,9,False,True,False,False,True,False,17.6,9.75,True,True,True,True,False,False
AST-00114,late_delivery,chat,midlands,medium,False,False,False,True,11.77,53,False,True,True,True,False,False,20.89,14.47,False,True,True,True,True,False
AST-00115,wrong_item,chat,london,low,False,False,False,True,97.19,47,False,True,False,False,True,False,18.38,10.77,True,True,True,True,False,False
AST-00116,missing_refund,phone,south,medium,False,False,False,True,100.01,58,False,True,True,True,True,False,26.29,18.54,True,True,True,True,False,False
AST-00117,change_of_mind,phone,south,low,False,False,False,False,90.48,5,False,True,False,False,False,False,16.47,10.51,True,True,True,True,False,False
AST-00118,late_delivery,chat,london,medium,True,False,True,True,96.32,30,True,True,True,True,False,False,22.8,16.01,False,True,True,True,True,False
AST-00119,wrong_item,phone,north,low,False,False,False,True,99.13,7,False,True,False,False,True,False,16.74,8.62,False,True,True,True,True,False
AST-00120,wrong_item,phone,midlands,low,False,False,False,False,85.04,47,False,True,False,False,True,False,13.44,7.13,True,True,True,True,False,False
AST-00121,wrong_item,phone,london,high,False,False,False,False,66.03,5,False,True,False,False,True,False,24.43,16.13,False,True,True,True,True,False
AST-00122,wrong_item,phone,midlands,medium,False,True,False,True,44.22,54,True,True,True,True,True,False,19.58,13.7,False,False,True,True,True,True
AST-00123,late_delivery,phone,north,low,False,False,False,False,63.05,66,False,True,False,False,False,False,14.68,8.13,True,True,True,True,False,True
AST-00124,late_delivery,phone,london,low,False,False,False,True,91.33,26,False,True,False,False,False,False,18.03,9.46,True,True,False,True,False,False
AST-00125,late_delivery,email,midlands,medium,False,False,False,True,35.37,28,False,True,False,False,False,False,16.27,9.15,False,True,True,True,True,False
AST-00126,late_delivery,email,north,low,False,False,True,False,18.02,29,False,True,False,False,False,False,17.95,9.65,True,True,True,True,False,False
AST-00127,damaged_item,chat,london,low,False,False,False,False,48.3,18,False,True,False,False,True,False,16.8,9.59,True,True,True,True,False,False
AST-00128,late_delivery,phone,south,low,False,False,False,False,60.48,53,False,False,False,False,False,False,13.55,7.58,True,True,True,True,False,False
AST-00129,late_delivery,chat,london,low,False,False,False,False,21.69,54,False,True,False,False,False,False,12.73,8.19,False,False,True,True,True,True
AST-00130,wrong_item,email,south,medium,False,False,True,False,89.72,31,False,True,False,False,True,False,21.57,13.27,False,True,True,True,True,False
AST-00131,wrong_item,email,north,high,False,False,False,True,11.9,32,False,True,True,True,True,False,28.22,20.28,False,True,True,True,True,False
AST-00132,late_delivery,email,south,low,False,False,False,False,40.07,51,False,True,False,False,False,False,15.41,6.88,True,True,True,True,False,False
AST-00133,late_delivery,phone,london,low,False,False,False,False,50.18,10,False,True,False,False,False,False,14.09,7.14,True,True,True,True,False,False
AST-00134,change_of_mind,chat,south,low,False,False,False,False,31.35,25,False,True,False,False,False,False,14.98,8.49,True,True,True,True,False,False
AST-00135,damaged_item,phone,south,low,False,False,False,True,15.71,37,False,True,False,False,True,False,17.1,9.45,True,True,True,True,False,False
AST-00136,change_of_mind,email,south,medium,False,False,True,False,79.13,2,False,True,False,False,False,False,22.41,13.76,False,True,False,True,True,False
AST-00137,wrong_item,phone,midlands,low,False,False,False,False,42.76,18,False,True,False,False,True,False,17.1,8.35,True,True,False,True,False,False
AST-00138,late_delivery,phone,midlands,low,False,False,True,False,55.41,30,False,False,False,False,False,False,14.73,7.25,False,True,False,True,True,False
AST-00139,wrong_item,phone,midlands,medium,False,False,False,True,22.89,16,False,True,False,False,True,False,16.71,10.69,True,True,True,True,False,False
AST-00140,late_delivery,chat,north,medium,False,False,False,True,38.17,27,False,True,False,False,False,False,21.71,13.58,True,False,True,True,False,True
AST-00141,late_delivery,email,south,low,False,False,False,False,19.81,15,False,True,False,False,False,False,16.56,8.14,True,True,True,True,False,False
AST-00142,change_of_mind,email,south,medium,False,False,False,False,103.87,22,False,True,False,True,False,False,19.97,13.03,False,True,True,True,True,False
AST-00143,late_delivery,phone,midlands,medium,False,False,False,False,59.19,20,False,True,False,False,False,False,17.0,9.96,True,True,False,True,True,False
AST-00144,warranty,chat,north,low,False,False,False,True,13.56,27,True,True,True,True,False,False,22.64,13.96,False,True,True,True,True,False
AST-00145,damaged_item,chat,north,high,False,False,True,False,103.34,7,False,True,False,True,True,False,26.99,18.48,True,False,True,True,False,True
AST-00146,late_delivery,phone,north,low,False,False,False,False,68.44,12,False,True,False,False,False,False,10.87,6.29,False,True,True,True,True,False
AST-00147,change_of_mind,email,north,medium,True,False,False,False,43.53,59,True,True,True,True,False,False,16.96,12.88,True,True,True,True,False,False
AST-00148,change_of_mind,phone,london,medium,False,False,False,False,13.28,19,False,True,False,False,False,False,17.57,11.72,True,True,True,True,False,False
AST-00149,late_delivery,phone,south,low,False,False,False,False,9.92,47,False,True,False,False,False,False,17.5,9.27,True,True,True,True,False,False
AST-00150,late_delivery,phone,midlands,medium,False,False,False,True,28.24,22,False,True,False,False,False,False,20.97,12.66,True,True,True,True,False,False
AST-00151,wrong_item,email,midlands,medium,False,False,False,True,99.95,10,False,True,False,False,True,False,20.25,13.77,False,True,True,True,True,False
AST-00152,late_delivery,email,london,low,False,False,False,False,149.19,46,False,True,False,True,False,False,19.1,10.8,True,True,True,True,False,False
AST-00153,change_of_mind,chat,midlands,low,False,False,False,False,64.01,52,False,True,False,False,False,False,19.74,11.4,False,True,False,True,True,False
AST-00154,wrong_item,chat,north,low,False,False,False,False,47.41,11,False,True,False,False,True,False,18.24,11.4,True,True,True,True,False,False
AST-00155,late_delivery,chat,south,medium,False,False,False,False,66.57,3,False,True,False,False,False,False,21.91,13.4,True,True,True,True,False,False
AST-00156,change_of_mind,phone,south,low,False,False,False,False,11.24,31,False,True,False,False,False,False,10.68,6.71,True,False,True,True,False,True
AST-00157,late_delivery,chat,north,high,False,False,False,False,38.84,11,False,True,False,False,False,False,25.25,17.66,False,True,True,True,True,False
AST-00158,late_delivery,chat,london,low,False,False,False,False,18.58,36,False,True,False,False,False,False,15.44,8.37,True,True,True,True,False,False
AST-00159,change_of_mind,chat,london,high,False,False,False,True,76.87,50,False,True,False,False,False,False,26.29,18.54,False,True,True,True,True,False
AST-00160,change_of_mind,email,london,low,False,False,False,False,43.02,53,False,True,False,False,False,False,15.32,8.17,True,True,True,True,False,False
AST-00161,damaged_item,chat,south,low,False,False,False,True,21.65,67,False,True,False,False,True,False,17.68,9.22,True,True,False,True,False,False
AST-00162,missing_refund,chat,london,high,False,False,False,True,38.22,34,False,True,False,False,True,False,24.62,16.91,True,True,False,True,False,False
AST-00163,damaged_item,email,london,medium,False,False,False,False,22.04,86,False,True,False,False,True,False,18.22,11.51,True,True,True,True,False,False
AST-00164,change_of_mind,email,midlands,low,False,False,False,False,38.64,5,False,True,False,False,False,False,15.78,8.36,False,True,True,True,True,False
AST-00165,damaged_item,chat,midlands,medium,False,False,False,True,68.11,14,False,True,False,False,True,False,18.75,11.04,False,True,False,True,True,False
AST-00166,damaged_item,email,midlands,low,False,False,False,False,53.23,42,False,True,False,False,True,False,10.75,5.06,True,True,True,True,False,False
AST-00167,warranty,email,north,low,False,False,False,False,46.53,70,True,True,True,True,False,False,9.6,7.75,True,True,True,True,False,False
AST-00168,change_of_mind,phone,midlands,low,False,False,False,False,47.83,72,False,True,False,False,False,False,13.24,8.29,True,True,True,True,False,False
AST-00169,damaged_item,phone,london,low,False,False,False,False,47.96,9,False,True,False,False,True,False,14.17,7.5,True,True,False,True,False,False
AST-00170,wrong_item,phone,north,medium,True,False,False,False,13.55,16,True,True,True,True,True,False,19.9,15.08,True,True,True,True,False,False
AST-00171,missing_refund,phone,midlands,medium,False,True,False,True,22.54,7,True,True,True,True,True,False,18.22,13.05,False,True,True,True,True,False
AST-00172,wrong_item,chat,london,medium,True,False,True,False,16.76,31,True,True,True,True,True,False,20.55,14.44,True,False,True,True,False,True
AST-00173,wrong_item,chat,london,low,False,False,False,False,16.35,16,False,True,False,False,True,False,16.68,9.11,True,True,True,True,False,False
AST-00174,wrong_item,chat,midlands,low,True,False,False,True,35.37,9,True,True,True,True,True,False,15.03,10.07,True,True,True,True,False,False
AST-00175,warranty,chat,london,high,False,True,False,False,91.04,11,True,True,True,True,False,False,21.91,17.53,True,True,True,True,False,False
AST-00176,wrong_item,phone,north,low,False,False,False,False,30.79,42,False,True,False,False,True,False,12.07,5.21,True,True,True,True,False,False
AST-00177,wrong_item,chat,south,low,False,False,False,False,84.39,31,False,True,False,False,True,False,15.37,9.2,False,True,True,True,True,False
AST-00178,change_of_mind,chat,north,low,False,False,False,False,196.48,16,False,True,False,True,False,False,15.01,7.27,True,True,True,True,False,False
AST-00179,wrong_item,chat,south,medium,False,False,True,True,32.92,36,False,True,False,False,True,False,18.79,12.54,False,True,True,True,True,False
AST-00180,missing_refund,email,london,low,False,False,False,False,8.1,11,False,True,False,False,True,False,8.11,4.0,True,True,True,True,False,False
AST-00181,wrong_item,chat,south,high,False,False,True,False,101.23,23,False,True,False,True,True,False,22.58,14.96,False,False,True,True,True,True
AST-00182,late_delivery,phone,south,low,False,False,False,False,27.68,15,False,True,False,False,False,False,12.78,6.33,True,True,True,True,False,False
AST-00183,wrong_item,email,midlands,high,False,False,False,False,50.97,13,False,True,False,False,True,False,29.04,20.1,False,True,True,True,True,False
AST-00184,wrong_item,email,north,medium,True,False,False,True,45.16,42,True,True,True,True,True,False,21.85,14.67,True,True,True,True,False,False
AST-00185,late_delivery,phone,london,high,True,False,False,True,27.23,12,True,True,True,True,False,False,30.5,23.35,True,False,True,True,False,True
AST-00186,late_delivery,email,london,low,True,False,False,False,15.72,13,True,True,True,True,False,False,15.82,10.78,True,True,True,True,False,False
AST-00187,missing_refund,email,south,low,False,False,False,False,51.4,16,False,True,False,False,True,False,12.22,6.74,True,True,True,True,False,False
AST-00188,missing_refund,chat,north,high,True,False,False,False,44.73,41,True,True,True,True,True,False,21.56,16.55,True,True,True,True,False,False
AST-00189,damaged_item,phone,south,medium,False,False,True,True,33.97,26,False,True,False,False,True,False,20.67,12.48,False,True,False,False,True,False
AST-00190,warranty,chat,north,low,False,False,False,False,8.88,6,True,True,True,True,False,False,14.23,9.89,False,True,False,True,True,False
AST-00191,late_delivery,phone,north,high,False,False,False,True,75.02,23,False,True,False,False,False,False,26.57,18.64,True,True,False,True,False,False
AST-00192,late_delivery,phone,london,low,True,False,False,False,25.85,33,True,True,True,True,False,False,15.26,9.81,True,True,True,True,False,False
AST-00193,change_of_mind,email,north,medium,False,False,False,False,76.39,47,False,True,False,False,False,False,25.19,14.46,True,False,True,True,False,True
AST-00194,late_delivery,chat,midlands,low,False,False,False,False,56.72,28,False,True,False,False,False,False,13.67,7.16,True,True,True,True,False,False
AST-00195,late_delivery,email,london,low,False,False,False,False,22.69,22,False,True,False,False,False,False,13.96,7.33,True,True,False,True,False,False
AST-00196,missing_refund,email,south,medium,False,False,True,False,172.49,19,False,True,False,True,True,False,22.91,13.41,False,True,False,True,True,False
AST-00197,late_delivery,phone,midlands,high,False,False,False,False,65.69,40,False,True,False,False,False,False,24.19,15.98,True,True,True,True,False,False
AST-00198,missing_refund,chat,south,low,False,False,False,False,72.68,12,False,True,False,False,True,False,13.56,7.19,False,True,True,True,True,False
AST-00199,change_of_mind,phone,south,high,False,False,False,True,9.29,57,False,True,False,False,False,False,27.03,17.59,True,True,True,True,False,False
AST-00200,change_of_mind,chat,london,medium,False,False,False,True,129.56,27,False,True,False,True,False,False,22.67,14.64,True,False,False,True,False,True
AST-00201,damaged_item,phone,south,high,False,True,False,True,64.28,27,True,True,True,True,True,False,25.22,20.08,True,True,True,True,False,False
AST-00202,change_of_mind,chat,midlands,low,False,False,True,False,63.88,17,False,True,False,False,False,False,16.62,8.06,True,True,True,True,False,False
AST-00203,damaged_item,chat,south,low,False,False,False,True,80.44,24,False,True,False,False,True,False,17.17,9.15,True,True,True,True,False,False
AST-00204,change_of_mind,chat,south,medium,False,False,False,False,53.52,26,False,True,False,False,False,False,16.27,8.95,False,True,True,True,True,False
AST-00205,warranty,email,london,low,False,False,False,True,110.53,10,True,True,True,True,False,False,12.07,9.36,True,True,False,True,False,False
AST-00206,late_delivery,email,london,medium,False,False,False,False,320.25,29,True,True,False,True,False,False,22.13,12.11,False,True,True,True,True,False
AST-00207,change_of_mind,chat,north,low,False,False,False,True,183.75,17,False,True,False,True,False,False,16.83,10.52,True,True,True,True,False,False
AST-00208,missing_refund,email,london,low,False,False,False,False,132.47,59,False,True,False,True,True,False,16.49,10.18,True,False,True,True,False,True
